Date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2023-11-07,92.42644098527455,93.01688155207539,92.36285550456046,92.8170394897461,25518200,0.0,0.0,0.0
2023-11-08,92.96234711986315,93.37111674316539,92.95326843267318,93.28936004638672,26997000,0.0,0.0,0.0
2023-11-09,93.16223711083353,93.16223711083353,92.18120475622659,92.34471130371094,23864100,0.0,0.0,0.0
2023-11-10,92.93512384093277,92.96237377090598,92.62628206083956,92.80795288085938,18498900,0.0,0.0,0.0
2023-11-13,92.49911208617567,92.88062497046018,92.33560557429695,92.8170394897461,21439200,0.0,0.0,0.0
2023-11-14,94.297673818566,94.51568711440751,94.16142417153681,94.27042388916016,28387800,0.0,0.0,0.0
2023-11-15,93.9434137382772,93.97066366851338,93.53465092413927,93.7799072265625,23895000,0.0,0.0,0.0
2023-11-16,94.26134734915061,94.59744601489187,94.18868317383468,94.5520248413086,21223000,0.0,0.0,0.0
2023-11-17,94.87904668307932,94.99713897322566,94.6065404072082,94.82454681396484,25810200,0.0,0.0,0.0
2023-11-20,94.7064336417864,95.26961727137646,94.68826240388543,95.2060317993164,18529400,0.0,0.0,0.0
2023-11-21,95.22422056504618,95.35139153257454,94.96987862998947,95.2332992553711,20273200,0.0,0.0,0.0
2023-11-22,95.59663588993334,95.72380684155536,95.24237296322957,95.61480712890625,18588000,0.0,0.0,0.0
2023-11-24,95.2514690613152,95.39680433760135,95.1061268547312,95.12429809570312,6391400,0.0,0.0,0.0
2023-11-27,95.43313087480558,95.91456476061846,95.26962437299204,95.89640045166016,17919500,0.0,0.0,0.0
2023-11-28,95.73291174943088,96.31426676834857,95.64207632715596,96.2779312133789,21320800,0.0,0.0,0.0
2023-11-29,96.7775283137006,97.1136269712544,96.65035734712303,97.05912017822266,20661800,0.0,0.0,0.0
2023-11-30,96.84111541718626,96.86836534900908,96.3596814741883,96.5504379272461,41950900,0.0,0.0,0.0
2023-12-01,96.68263902630433,97.75851174010334,96.55499370061194,97.71292114257812,27733500,0.395,0.0,0.0
2023-12-04,97.3846848683768,97.51233018954815,97.05645205503666,97.26615905761719,28914300,0.0,0.0,0.0
2023-12-05,97.70379237175096,98.16878299981914,97.5852596203181,98.0411376953125,33315200,0.0,0.0,0.0
2023-12-06,98.33291872505825,98.64291949422166,98.21439290646126,98.4058609008789,22544300,0.0,0.0,0.0
2023-12-07,98.27819795244666,98.67937289139087,98.1779042177106,98.41496276855469,20253300,0.0,0.0,0.0
2023-12-08,97.86791515387385,98.13232530818422,97.72203776716889,97.88615417480469,21624200,0.0,0.0,0.0
2023-12-11,97.75849380538426,97.8861391076589,97.35731888043695,97.8587875366211,17714600,0.0,0.0,0.0
2023-12-12,97.84967144151034,98.45143384992666,97.68555505341021,98.41496276855469,22111100,0.0,0.0,0.0
2023-12-13,98.78879399654235,100.24760268948832,98.58820649698443,100.06525421142578,33623500,0.0,0.0,0.0
2023-12-14,100.87321697404762,101.44969212345019,100.76341750265397,101.12942504882812,28202300,0.393,0.0,0.0
2023-12-15,101.0379243335012,101.17518065548079,100.78171625575078,100.98302459716797,17904100,0.0,0.0,0.0
2023-12-18,100.69021494048228,100.80002139491941,100.50720418308705,100.5621109008789,19714500,0.0,0.0,0.0
2023-12-19,100.75427571921762,100.99218623394054,100.61701938452565,100.69022369384766,18086800,0.0,0.0,0.0
2023-12-20,100.88236210974296,101.03791600396096,100.57125432130697,100.95556640625,23942000,0.0,0.0,0.0
2023-12-21,101.19348150173735,101.3032879590891,100.68106532972271,100.91897583007812,24168300,0.0,0.0,0.0
2023-12-22,101.05624729816128,101.11114704448963,100.59873079569752,100.74513244628906,11037100,0.0,0.0,0.0
2023-12-26,100.78170794733227,101.01961842040717,100.73595351672887,100.95556640625,5816000,0.0,0.0,0.0
2023-12-27,101.46797429081481,101.93464291676959,101.31242040921168,101.89804077148438,13646400,0.0,0.0,0.0
2023-12-28,101.760794460187,101.92550063956436,101.49543411668202,101.6326904296875,14288800,0.0,0.0,0.0
2023-12-29,101.29414827644212,101.57781324793469,101.16604421750262,101.25755310058594,17956700,0.0,0.0,0.0
2024-01-02,100.59871604345521,100.80916969428391,100.4614597166144,100.5712661743164,20622000,0.0,0.0,0.0
2024-01-03,99.83009844266681,100.44316887435964,99.66539222418166,100.34252166748047,35384900,0.0,0.0,0.0
2024-01-04,99.73858546761646,99.96734369116604,99.61963370458358,99.78433990478516,43111300,0.0,0.0,0.0
2024-01-05,99.48237471380264,100.26015125684202,99.35427067053247,99.42747497558594,24385500,0.0,0.0,0.0
2024-01-08,99.51897299472618,100.24184977142666,99.50066842860154,100.18694305419922,29182300,0.0,0.0,0.0
2024-01-09,100.03137410873491,100.46144059310156,99.98561968144871,100.36078643798828,55126300,0.0,0.0,0.0
2024-01-10,100.69938055871522,100.80003474332504,100.16865976370845,100.23271179199219,32323500,0.0,0.0,0.0
2024-01-11,100.40655694402386,100.96472055565422,100.09544214717688,100.83661651611328,50960900,0.0,0.0,0.0
2024-01-12,101.15688280814294,101.43138847024386,100.77256371136723,101.05622863769531,30479000,0.0,0.0,0.0
2024-01-16,100.5163612717724,100.64446531750022,99.8300866063104,100.0313949584961,27124600,0.0,0.0,0.0
2024-01-17,99.80264052361626,99.96734672882268,99.46407582926219,99.82093811035156,34414000,0.0,0.0,0.0
2024-01-18,99.9765011654699,100.04055319214339,99.51898469461712,99.6287841796875,28325100,0.0,0.0,0.0
2024-01-19,99.59218244367499,99.75688865312148,99.23532015339882,99.72943878173828,25621500,0.0,0.0,0.0
2024-01-22,100.1869481807043,100.2601524866557,99.88499263566177,100.00394439697266,17679900,0.0,0.0,0.0
2024-01-23,99.77518051491938,99.77518051491938,99.4366158549664,99.63792419433594,25439500,0.0,0.0,0.0
2024-01-24,100.09543506919414,100.15033480193058,99.36340605402661,99.44576263427734,26828300,0.0,0.0,0.0
2024-01-25,99.97647209474238,100.14117825560272,99.78431607059619,100.10457611083984,39484000,0.0,0.0,0.0
2024-01-26,100.14120521797034,100.1503505207644,99.79348823967503,99.82093811035156,26642300,0.0,0.0,0.0
